Alloy elements = Zr, Ti, Nb	
Alloy composition = 35,40,25	
Theoretical elastic modulus (GPa) = 1.020740e+02	
----------	
Length (mm) = 5.1	
Width (mm) = 2.21	
Thickness (mm) = 0.95	
----------	
Time (s)	Displacement (mm)	Force (N)	Eng. strain	Eng. Stress (MPa)	
8.50000000	0.00582318	244.69265830	0.00114180	116.54806302	
8.60000000	0.00587047	246.67969298	0.00115107	117.49449534	
8.70000000	0.00591775	248.66672765	0.00116034	118.44092767	
8.80000000	0.00596504	250.65376232	0.00116962	119.38736000	
8.90000000	0.00601233	252.64079699	0.00117889	120.33379233	
9.00000000	0.00605962	254.62783166	0.00118816	121.28022466	
9.10000000	0.00610690	256.61486634	0.00119743	122.22665698	
9.20000000	0.00615419	258.60190101	0.00120670	123.17308931	
9.30000000	0.00620148	260.58893568	0.00121598	124.11952164	
9.40000000	0.00624876	262.57597035	0.00122525	125.06595397	
9.50000000	0.00629605	264.56300503	0.00123452	126.01238629	
9.60000000	0.00634334	266.55003970	0.00124379	126.95881862	
9.70000000	0.00639063	268.53707437	0.00125306	127.90525095	
9.80000000	0.00643791	270.52410904	0.00126234	128.85168328	
9.90000000	0.00648520	272.51114371	0.00127161	129.79811561	
10.00000000	0.00653249	274.49817839	0.00128088	130.74454793	
10.10000000	0.00657978	276.48521306	0.00129015	131.69098026	
10.20000000	0.00662706	278.47224773	0.00129942	132.63741259	
10.30000000	0.00667435	280.45928240	0.00130870	133.58384492	
10.40000000	0.00672164	282.44631707	0.00131797	134.53027724	
10.50000000	0.00676893	284.43335175	0.00132724	135.47670957	
10.60000000	0.00681621	286.42038642	0.00133651	136.42314190	
10.70000000	0.00686350	288.40742109	0.00134578	137.36957423	
10.80000000	0.00691079	290.39445576	0.00135506	138.31600656	
10.90000000	0.00695807	292.38149044	0.00136433	139.26243888	
11.00000000	0.00700536	294.36852511	0.00137360	140.20887121	
11.10000000	0.00705265	296.35555978	0.00138287	141.15530354	
11.20000000	0.00709994	298.34259445	0.00139214	142.10173587	
11.30000000	0.00714722	300.32962912	0.00140142	143.04816819	
11.40000000	0.00719451	302.31666380	0.00141069	143.99460052	
11.50000000	0.00724180	304.30369847	0.00141996	144.94103285	
11.60000000	0.00728909	306.29073314	0.00142923	145.88746518	
11.70000000	0.00733637	308.27776781	0.00143850	146.83389751	
11.80000000	0.00738366	310.26480248	0.00144778	147.78032983	
11.90000000	0.00743095	312.25183716	0.00145705	148.72676216	
12.00000000	0.00747823	314.23887183	0.00146632	149.67319449	
12.10000000	0.00752552	316.22590650	0.00147559	150.61962682	
12.20000000	0.00757281	318.21294117	0.00148486	151.56605914	
12.30000000	0.00762010	320.19997585	0.00149414	152.51249147	
12.40000000	0.00766738	322.18701052	0.00150341	153.45892380	
12.50000000	0.00771467	324.17404519	0.00151268	154.40535613	
12.60000000	0.00776196	326.16107986	0.00152195	155.35178846	
12.70000000	0.00780925	328.14811453	0.00153122	156.29822078	
12.80000000	0.00785653	330.13514921	0.00154050	157.24465311	
12.90000000	0.00790382	332.12218388	0.00154977	158.19108544	
13.00000000	0.00795111	334.10921855	0.00155904	159.13751777	
13.10000000	0.00799840	336.09625322	0.00156831	160.08395009	
13.20000000	0.00804568	338.08328789	0.00157758	161.03038242	
13.30000000	0.00809297	340.07032257	0.00158686	161.97681475	
13.40000000	0.00814026	342.05735724	0.00159613	162.92324708	
13.50000000	0.00818754	344.04439191	0.00160540	163.86967941	
13.60000000	0.00823483	346.03142658	0.00161467	164.81611173	
13.70000000	0.00828212	348.01846126	0.00162394	165.76254406	
13.80000000	0.00832941	350.00549593	0.00163322	166.70897639	
13.90000000	0.00837669	351.99253060	0.00164249	167.65540872	
14.00000000	0.00842398	353.97956527	0.00165176	168.60184104	
14.10000000	0.00847127	355.96659994	0.00166103	169.54827337	
14.20000000	0.00851856	357.95363462	0.00167031	170.49470570	
14.30000000	0.00856584	359.94066929	0.00167958	171.44113803	
