Total length (mm) = 50	
Gage length (mm) = 5.1	
Width (mm) = 2.21	
Thickness (mm) = 0.95	
----------	
Time (s)	Displacement (mm)	Force (N)	Eng. strain	Eng. stress (MPa)	
8.70000000	0.03418242	241.74488900	0.00670243	115.14402905	
8.80000000	0.03457532	244.07182300	0.00677947	116.25235675	
8.90000000	0.03496822	246.09310100	0.00685651	117.21509931	
9.00000000	0.03536112	248.58765400	0.00693355	118.40326459	
9.10000000	0.03575402	250.93430900	0.00701059	119.52098547	
9.20000000	0.03614692	252.78796900	0.00708763	120.40389093	
9.30000000	0.03653982	255.31210200	0.00716467	121.60614527	
9.40000000	0.03693273	257.40239900	0.00724171	122.60176185	
9.50000000	0.03732563	259.55185600	0.00731875	123.62555656	
9.60000000	0.03771853	261.88865000	0.00739579	124.73858061	
9.70000000	0.03811143	263.70287100	0.00747283	125.60270112	
9.80000000	0.03850433	265.73400900	0.00754987	126.57014003	
9.90000000	0.03889723	267.86374500	0.00762691	127.58454156	
10.00000000	0.03929013	270.05264200	0.00770395	128.62712170	
10.10000000	0.03968303	272.47817500	0.00778099	129.78241248	
10.20000000	0.04007594	274.47973400	0.00785803	130.73576280	
10.30000000	0.04046884	276.61933000	0.00793507	131.75486068	
10.40000000	0.04086174	278.66032800	0.00801211	132.72699595	
10.50000000	0.04125464	280.76048500	0.00808915	133.72730888	
10.60000000	0.04164754	283.29447800	0.00816618	134.93425959	
10.70000000	0.04204044	285.36505500	0.00824322	135.92048345	
10.80000000	0.04243334	287.55395200	0.00832026	136.96306359	
10.90000000	0.04282624	289.61466900	0.00839730	137.94459109	
11.00000000	0.04321915	291.61622700	0.00847434	138.89794094	
11.10000000	0.04361205	293.91358200	0.00855138	139.99218004	
11.20000000	0.04400495	295.97430000	0.00862842	140.97370803	
11.30000000	0.04439785	298.25193500	0.00870546	142.05855442	
11.40000000	0.04479075	300.41125200	0.00878250	143.08704549	
11.50000000	0.04518365	302.33393100	0.00885954	144.00282496	
11.60000000	0.04557655	304.57212700	0.00893658	145.06888640	
11.70000000	0.04596946	306.89906100	0.00901362	146.17721410	
11.80000000	0.04636236	309.09781700	0.00909066	147.22449012	
11.90000000	0.04675526	311.40503200	0.00916770	148.32342558	
12.00000000	0.04714816	313.76154600	0.00924474	149.44584234	
12.10000000	0.04754106	315.78282400	0.00932178	150.40858490	
12.20000000	0.04793396	318.09989900	0.00939882	151.51221672	
12.30000000	0.04832686	320.56487200	0.00947586	152.68629293	
12.40000000	0.04871976	322.71432900	0.00955290	153.71008764	
12.50000000	0.04911267	324.89336500	0.00962993	154.74797095	
12.60000000	0.04950557	327.22030000	0.00970697	155.85629912	
12.70000000	0.04989847	329.28101700	0.00978401	156.83782663	
12.80000000	0.05029137	331.49949300	0.00986105	157.89449536	
12.90000000	0.05068427	333.66866900	0.00993809	158.92768231	
13.00000000	0.05107717	335.58148900	0.01001513	159.83876590	
13.10000000	0.05147007	337.66192600	0.01009217	160.82968612	
13.20000000	0.05186298	339.79166300	0.01016921	161.84408812	
13.30000000	0.05225588	342.02985800	0.01024625	162.91014908	
13.40000000	0.05264878	344.08071600	0.01032329	163.88698071	
13.50000000	0.05304168	346.08227400	0.01040033	164.84033055	
13.60000000	0.05343458	348.35004900	0.01047737	165.92048059	
13.70000000	0.05382748	350.72628300	0.01055441	167.05229007	
13.80000000	0.05422038	353.01377800	0.01063145	168.14183282	
13.90000000	0.05461328	355.17309500	0.01070849	169.17032389	
14.00000000	0.05500619	357.17465300	0.01078553	170.12367373	
14.10000000	0.05539909	359.03817200	0.01086257	171.01127507	
14.20000000	0.05579199	361.01015100	0.01093961	171.95053632	
14.30000000	0.05618489	363.26806600	0.01101665	173.02599000	
14.40000000	0.05657779	365.67388000	0.01109368	174.17188854	
14.50000000	0.05697069	367.61627800	0.01117072	175.09706025	
14.60000000	0.05736359	369.83475400	0.01124776	176.15372898	
14.70000000	0.05775650	371.90533100	0.01132480	177.13995285	
14.80000000	0.05814940	373.54207400	0.01140184	177.91953989	
14.90000000	0.05854230	376.00704700	0.01147888	179.09361610	
15.00000000	0.05893520	378.38328100	0.01155592	180.22542558	
15.10000000	0.05932810	380.77923400	0.01163296	181.36662729	
15.20000000	0.05972100	383.45126500	0.01171000	182.63932603	
15.30000000	0.06011390	385.57114200	0.01178704	183.64903167	
15.40000000	0.06050680	387.57270000	0.01186408	184.60238152	
15.50000000	0.06089971	389.72215600	0.01194112	185.62617576	
15.60000000	0.06129261	391.64483500	0.01201816	186.54195523	
15.70000000	0.06168551	393.89289000	0.01209520	187.61271255	
15.80000000	0.06207841	396.46632200	0.01217224	188.83844820	
15.90000000	0.06247131	398.55661900	0.01224928	189.83406478	
16.00000000	0.06286421	400.85397400	0.01232632	190.92830388	
16.10000000	0.06325711	402.87525200	0.01240336	191.89104644	
16.20000000	0.06365002	404.83737000	0.01248040	192.82561086	
16.30000000	0.06404292	407.18402500	0.01255743	193.94333175	
16.40000000	0.06443582	409.45180000	0.01263447	195.02348178	
16.50000000	0.06482872	411.89705300	0.01271151	196.18816528	
16.60000000	0.06522162	413.83945100	0.01278855	197.11333698	
16.70000000	0.06561452	415.97904800	0.01286559	198.13243534	
16.80000000	0.06600742	417.67494900	0.01294263	198.94019957	
16.90000000	0.06640032	419.68636700	0.01301967	199.89824577	
17.00000000	0.06679323	421.87526300	0.01309671	200.94082543	
17.10000000	0.06718613	424.06415900	0.01317375	201.98340510	
17.20000000	0.06757903	426.43053300	0.01325079	203.11051822	
17.30000000	0.06797193	428.32363200	0.01332783	204.01220862	
17.40000000	0.06836483	430.31533000	0.01340487	204.96086211	
17.50000000	0.06875773	432.21828900	0.01348191	205.86724887	
17.60000000	0.06915063	434.46634400	0.01355895	206.93800619	
