Total length (mm) = 50	
Gage length (mm) = 5.1	
Width (mm) = 2.21	
Thickness (mm) = 0.95	
----------	
Time (s)	Displacement (mm)	Force (N)	Eng. strain	Eng. stress (MPa)	
8.70000000	0.04390034	327.22030000	0.00860791	155.85629912	
8.80000000	0.04440494	329.28101700	0.00870685	156.83782663	
8.90000000	0.04490954	331.49949300	0.00880579	157.89449536	
9.00000000	0.04541415	333.66866900	0.00890473	158.92768231	
9.10000000	0.04591875	335.58148900	0.00900368	159.83876590	
9.20000000	0.04642335	337.66192600	0.00910262	160.82968612	
9.30000000	0.04692795	339.79166300	0.00920156	161.84408812	
9.40000000	0.04743255	342.02985800	0.00930050	162.91014908	
9.50000000	0.04793715	344.08071600	0.00939944	163.88698071	
9.60000000	0.04844175	346.08227400	0.00949838	164.84033055	
9.70000000	0.04894636	348.35004900	0.00959732	165.92048059	
9.80000000	0.04945096	350.72628300	0.00969627	167.05229007	
9.90000000	0.04995556	353.01377800	0.00979521	168.14183282	
10.00000000	0.05046016	355.17309500	0.00989415	169.17032389	
10.10000000	0.05096476	357.17465300	0.00999309	170.12367373	
10.20000000	0.05146936	359.03817200	0.01009203	171.01127507	
10.30000000	0.05197397	361.01015100	0.01019097	171.95053632	
10.40000000	0.05247857	363.26806600	0.01028992	173.02599000	
10.50000000	0.05298317	365.67388000	0.01038886	174.17188854	
10.60000000	0.05348777	367.61627800	0.01048780	175.09706025	
10.70000000	0.05399237	369.83475400	0.01058674	176.15372898	
10.80000000	0.05449697	371.90533100	0.01068568	177.13995285	
10.90000000	0.05500158	373.54207400	0.01078462	177.91953989	
11.00000000	0.05550618	376.00704700	0.01088356	179.09361610	
11.10000000	0.05601078	378.38328100	0.01098251	180.22542558	
11.20000000	0.05651538	380.77923400	0.01108145	181.36662729	
11.30000000	0.05701998	383.45126500	0.01118039	182.63932603	
11.40000000	0.05752458	385.57114200	0.01127933	183.64903167	
11.50000000	0.05802919	387.57270000	0.01137827	184.60238152	
11.60000000	0.05853379	389.72215600	0.01147721	185.62617576	
11.70000000	0.05903839	391.64483500	0.01157615	186.54195523	
