Total length (mm) = 50	
Gage length (mm) = 5.1	
Width (mm) = 2.21	
Thickness (mm) = 0.95	
----------	
Time (s)	Displacement (mm)	Force (N)	Eng. strain	Eng. stress (MPa)	
8.70000000	0.06294115	241.74488900	0.01234140	115.14402905	
8.80000000	0.06320416	244.07182300	0.01239297	116.25235675	
8.90000000	0.06346718	246.09310100	0.01244454	117.21509931	
9.00000000	0.06373019	248.58765400	0.01249612	118.40326459	
9.10000000	0.06399321	250.93430900	0.01254769	119.52098547	
9.20000000	0.06425622	252.78796900	0.01259926	120.40389093	
9.30000000	0.06451924	255.31210200	0.01265083	121.60614527	
9.40000000	0.06478226	257.40239900	0.01270240	122.60176185	
9.50000000	0.06504527	259.55185600	0.01275397	123.62555656	
9.60000000	0.06530829	261.88865000	0.01280555	124.73858061	
9.70000000	0.06557130	263.70287100	0.01285712	125.60270112	
9.80000000	0.06583432	265.73400900	0.01290869	126.57014003	
9.90000000	0.06609733	267.86374500	0.01296026	127.58454156	
10.00000000	0.06636035	270.05264200	0.01301183	128.62712170	
10.10000000	0.06662337	272.47817500	0.01306340	129.78241248	
10.20000000	0.06688638	274.47973400	0.01311498	130.73576280	
10.30000000	0.06714940	276.61933000	0.01316655	131.75486068	
10.40000000	0.06741241	278.66032800	0.01321812	132.72699595	
10.50000000	0.06767543	280.76048500	0.01326969	133.72730888	
10.60000000	0.06793844	283.29447800	0.01332126	134.93425959	
10.70000000	0.06820146	285.36505500	0.01337284	135.92048345	
10.80000000	0.06846448	287.55395200	0.01342441	136.96306359	
10.90000000	0.06872749	289.61466900	0.01347598	137.94459109	
11.00000000	0.06899051	291.61622700	0.01352755	138.89794094	
11.10000000	0.06925352	293.91358200	0.01357912	139.99218004	
11.20000000	0.06951654	295.97430000	0.01363069	140.97370803	
11.30000000	0.06977955	298.25193500	0.01368227	142.05855442	
11.40000000	0.07004257	300.41125200	0.01373384	143.08704549	
11.50000000	0.07030559	302.33393100	0.01378541	144.00282496	
11.60000000	0.07056860	304.57212700	0.01383698	145.06888640	
11.70000000	0.07083162	306.89906100	0.01388855	146.17721410	
11.80000000	0.07109463	309.09781700	0.01394012	147.22449012	
11.90000000	0.07135765	311.40503200	0.01399170	148.32342558	
12.00000000	0.07162066	313.76154600	0.01404327	149.44584234	
12.10000000	0.07188368	315.78282400	0.01409484	150.40858490	
12.20000000	0.07214670	318.09989900	0.01414641	151.51221672	
12.30000000	0.07240971	320.56487200	0.01419798	152.68629293	
12.40000000	0.07267273	322.71432900	0.01424955	153.71008764	
12.50000000	0.07293574	324.89336500	0.01430113	154.74797095	
12.60000000	0.07319876	327.22030000	0.01435270	155.85629912	
12.70000000	0.07346177	329.28101700	0.01440427	156.83782663	
12.80000000	0.07372479	331.49949300	0.01445584	157.89449536	
12.90000000	0.07398781	333.66866900	0.01450741	158.92768231	
13.00000000	0.07425082	335.58148900	0.01455898	159.83876590	
13.10000000	0.07451384	337.66192600	0.01461056	160.82968612	
13.20000000	0.07477685	339.79166300	0.01466213	161.84408812	
13.30000000	0.07503987	342.02985800	0.01471370	162.91014908	
13.40000000	0.07530288	344.08071600	0.01476527	163.88698071	
13.50000000	0.07556590	346.08227400	0.01481684	164.84033055	
13.60000000	0.07582892	348.35004900	0.01486841	165.92048059	
13.70000000	0.07609193	350.72628300	0.01491999	167.05229007	
13.80000000	0.07635495	353.01377800	0.01497156	168.14183282	
13.90000000	0.07661796	355.17309500	0.01502313	169.17032389	
14.00000000	0.07688098	357.17465300	0.01507470	170.12367373	
14.10000000	0.07714399	359.03817200	0.01512627	171.01127507	
14.20000000	0.07740701	361.01015100	0.01517784	171.95053632	
14.30000000	0.07767003	363.26806600	0.01522942	173.02599000	
14.40000000	0.07793304	365.67388000	0.01528099	174.17188854	
14.50000000	0.07819606	367.61627800	0.01533256	175.09706025	
14.60000000	0.07845907	369.83475400	0.01538413	176.15372898	
14.70000000	0.07872209	371.90533100	0.01543570	177.13995285	
14.80000000	0.07898510	373.54207400	0.01548728	177.91953989	
14.90000000	0.07924812	376.00704700	0.01553885	179.09361610	
15.00000000	0.07951114	378.38328100	0.01559042	180.22542558	
15.10000000	0.07977415	380.77923400	0.01564199	181.36662729	
15.20000000	0.08003717	383.45126500	0.01569356	182.63932603	
15.30000000	0.08030018	385.57114200	0.01574513	183.64903167	
15.40000000	0.08056320	387.57270000	0.01579671	184.60238152	
15.50000000	0.08082621	389.72215600	0.01584828	185.62617576	
15.60000000	0.08108923	391.64483500	0.01589985	186.54195523	
15.70000000	0.08135225	393.89289000	0.01595142	187.61271255	
15.80000000	0.08161526	396.46632200	0.01600299	188.83844820	
15.90000000	0.08187828	398.55661900	0.01605456	189.83406478	
16.00000000	0.08214129	400.85397400	0.01610614	190.92830388	
16.10000000	0.08240431	402.87525200	0.01615771	191.89104644	
16.20000000	0.08266732	404.83737000	0.01620928	192.82561086	
16.30000000	0.08293034	407.18402500	0.01626085	193.94333175	
16.40000000	0.08319336	409.45180000	0.01631242	195.02348178	
16.50000000	0.08345637	411.89705300	0.01636399	196.18816528	
16.60000000	0.08371939	413.83945100	0.01641557	197.11333698	
16.70000000	0.08398240	415.97904800	0.01646714	198.13243534	
16.80000000	0.08424542	417.67494900	0.01651871	198.94019957	
16.90000000	0.08450843	419.68636700	0.01657028	199.89824577	
17.00000000	0.08477145	421.87526300	0.01662185	200.94082543	
